german_idiom	translation	letters_only	length
Die weiß alles.	She has all the answers.	dieweißalles	12
Mein Sündenregister	My sins	meinsündenregister	18
Plackerei	Drudgery	plackerei	9
Jmdm. traktieren	Plague s.o.	jmdmtraktieren	14
Tyrannisieren	Bully	tyrannisieren	13
Schikanieren	Bully	schikanieren	12
Etwas heruntermachen	Run s.th. down	etwasheruntermachen	19
Es ist ein Geschenk des Himmels / Glücksfall / Segen.	It’s a godsend. // It’s a gift from heaven.	esisteingeschenkdeshimmelsglücksfallsegen	41
Aus meinen Augen!	Out of my sight!	ausmeinenaugen	14
Schaff ihn mir aus den Augen.	Remove him from my sight.	schaffihnmirausdenaugen	23
Verzieh dich!	Sheer off!	verziehdich	11
Verpiss dich!	Piss off!	verpissdich	11
Geht er? Gott sei Dank.	Is he going? Good riddance!	gehtergottseidank	17
Der Hund wird teuer dafür bezahlen!	The dog will pay dearly for this!	derhundwirdteuerdafürbezahlen	29
Los, beweg dich!	Come on, move (yourself)!	losbewegdich	12
Los, beweg deinen Arsch.	Come on, move your bum.	losbewegdeinenarsch	19
Hintern	Bottom // bum // buttocks // posterior // behind	hintern	7
Du kriegst gleich den Hintern versohlt.	You’re asking to get your bottom smacked.	dukriegstgleichdenhinternversohlt	33
Wie die Zeit vergeht!	Doesn’t time fly! // How time does fly!	wiediezeitvergeht	17
Wenn man vom Teufel spricht!	Talk/Speak of the devil (and the devil appears)!	wennmanvomteufelspricht	23
An die Arbeit!	Work!	andiearbeit	11
Du kannst doch wohl einen Spaß vertragen.	Surely you can take a joke.	dukannstdochwohleinenspaßvertragen	34
Ich muss doch sehr bitten!	I disapprove strongly!	ichmussdochsehrbitten	21
Ich bin total kaputt / vollkommen erledigt.	I’m absolutely cracked up.	ichbintotalkaputtvollkommenerledigt	35
Das macht keiner mit mir!	No one does that to me!	dasmachtkeinermitmir	20
Die Augen waren größer als der Mund.	My eyes were bigger than my belly.	dieaugenwarengrößeralsdermund	29
Tu etwas. – Was denn?	Do something. – Such as what?	tuetwaswasdenn	14
Versuch nicht, dich herauszureden.	Don’t try to weasel out.	versuchnichtdichherauszureden	29
Lahme Ausrede.	Lame excuse.	lahmeausrede	12
Verdirb nicht alles!	Don’t blow it!	verdirbnichtalles	17
Wer hätte das gedacht!	Well, fancy that!	werhättedasgedacht	18
Ich kann das nachvollziehen.	I sympathize.	ichkanndasnachvollziehen	24
Es überrascht mich nicht im geringsten.	It does not surprise me in the least.	esüberraschtmichnichtimgeringsten	33
Oje!	Uh-oh!	oje	3
Au(a)!	Ouch! // Eek! // Oww! // Ow! // Yow!	aua	3
Pst!	(S)ssh!	pst	3
Puh, was für ein Gestank!	Pooh, what a stink!	puhwasfüreingestank	19
Gute Besserung!	Get well soon!	gutebesserung	13
Es ist zum Kotzen.	It’s sickening. It’s disgusting.	esistzumkotzen	14
Ich find’s zum Kotzen.	It gives me the puke.	ichfindszumkotzen	17
Das ist eine gemeine Verleumdung.	That’s a foul slur.	dasisteinegemeineverleumdung	28
Das nimmt dir keiner ab.	Nobody will buy that.	dasnimmtdirkeinerab	19
Wem sagst du das!	You’re telling me!	wemsagstdudas	13
Ich fühle mich etwas unwohl.	I feel a little queasy.	ichfühlemichetwasunwohl	23
Kopf hoch!	Chin up!	kopfhoch	8
Was für ein Zufall!	Now there’s a coincidence! // What a coincidence!	wasfüreinzufall	15
Sachte, sachte.	Easy, easy.	sachtesachte	12
Darauf kannst du Gift nehmen.	That you can bet on. // And (make) no mistake (about it).	daraufkannstdugiftnehmen	24
Ich möchte nicht unhöflich sein.	I don’t mean to be rude.	ichmöchtenichtunhöflichsein	27
Ich möchte nicht unhöflich erscheinen, aber ...	I don’t wish to appear discourteous, but ...	ichmöchtenichtunhöflicherscheinenaber	37
Da lachen ja die Hühner.	That’a a laugh (that is).	dalachenjadiehühner	19
Wie hältst du ihn nur aus?	How do you put up with him?	wiehältstduihnnuraus	20
Er ist eine Geschichte für sich.	He’s quite a story.	eristeinegeschichtefürsich	26
Er ist ein Original.	He’s a character.	eristeinoriginal	16
Er ist eine Seele von Mensch / von einem Menschen.	He’s a dear.	eristeineseelevonmenschvoneinemmenschen	39
Er ist etwas anstrengend.	He’s a little trying.	eristetwasanstrengend	21
Ich möchte mich Ihnen/dir nicht aufdrängen.	I don’t want to impose on you.	ichmöchtemichihnendirnichtaufdrängen	36
Regen Sie sich nicht auf.	Don’t get upset.	regensiesichnichtauf	20
Das ist nun einmal so.	It’s just one of those things.	dasistnuneinmalso	17
(Du hast es) Erraten!	You’ve got it.	duhasteserraten	15
Zeit, ins Bett zu gehen.	Time to kip down. // Time to turn in.	zeitinsbettzugehen	18
Zeit fürs Bett, Kinder.	Tuck-in time, children.	zeitfürsbettkinder	18
Eingemummelt (im Bett)	Tucked in (in bed)	eingemummeltimbett	18
Husch/Ab ins Bett!	Off to bed!	huschabinsbett	14
Gerade das Richtige.	Just what the doctor ordered.	geradedasrichtige	17
Ich denke nach.	I’m cogitating.	ichdenkenach	12
Wenn’s auch Wahnsinn ist, so hat es doch Methode.	Though this be madness, yet there is method in’t.	wennsauchwahnsinnistsohatesdochmethode	38
Es war zum Verzweifeln.	It drove me to distraction.	eswarzumverzweifeln	19
Man kann ja nie wissen.	You never can tell.	mankannjaniewissen	18
Schwer auszudrücken.	How shall I put it.	schwerauszudrücken	18
Seien wir nicht kleinlich.	Let’s think big.	seienwirnichtkleinlich	22
Immer der Reihe nach.	First things first.	immerderreihenach	17
Einmal muss es raus.	One must get it out of one’s system.	einmalmussesraus	16
Na hör mal.	Look here.	nahörmal	8
Also wirklich!	Honestly!	alsowirklich	12
Also wirklich, was du immer denkst!	Honestly, the way your mind works!	alsowirklichwasduimmerdenkst	28
..., was weiß ich.	..., for all I know.	wasweißich	10
Wie gut du in der Uniform aussiehst!	What a fine figure you cut in that uniform!	wiegutduinderuniformaussiehst	29
Du siehst so elegant/schick aus.	You look so swish. slang	dusiehstsoelegantschickaus	26
Es wäre mir lieber, du würdest mich wie einen männlichen Kollegen behandeln.	I’d rather you treated me as you would a male colleague.	eswäremirlieberduwürdestmichwieeinenmännlichenkollegenbehandeln	63
Womit kann ich Ihnen dienen?	How can I be of service?	womitkannichihnendienen	23
